year,age,gender,population
1990,35,Female,10038644
1990,40,Male,8712632
1990,40,Female,8928252
1990,45,Male,6848082
1990,45,Female,7115129
1990,50,Male,5553992
1990,50,Female,5899925
1990,55,Male,4981670
1990,55,Female,5460506
1990,60,Male,4953822
1990,60,Female,5663205
1990,65,Male,4538398
1990,65,Female,5594108
1990,70,Male,3429420
1990,70,Female,4610222
1990,75,Male,2344932
1990,75,Female,3723980
1990,80,Male,1342996
1990,80,Female,2545730
1990,85,Male,588790
1990,85,Female,1419494
1990,90,Male,238459
1990,90,Female,745146
2000,0,Male,9735380
2000,0,Female,9310714
2000,5,Male,10552146
2000,5,Female,10069564
2000,10,Male,10563233
2000,10,Female,10022524
2000,15,Male,10237419
2000,15,Female,9692669
2000,20,Male,9731315
2000,20,Female,9324244
2000,25,Male,9659493
2000,25,Female,9518507
2000,30,Male,10205879
2000,30,Female,10119296
2000,35,Male,11475182
2000,35,Female,11635647
2000,40,Male,11320252
2000,40,Female,11488578
2000,45,Male,9925006
2000,45,Female,10261253
2000,50,Male,8507934
2000,50,Female,8911133
2000,55,Male,6459082
2000,55,Female,6921268
2000,60,Male,5123399
2000,60,Female,5668961
2000,65,Male,4453623
2000,65,Female,4804784
2000,70,Male,3792145
2000,70,Female,5184855
2000,75,Male,2912655
2000,75,Female,4355644
2000,80,Male,1902638
2000,80,Female,3221898
2000,85,Male,970357
2000,85,Female,1981156
2000,90,Male,336303
2000,90,Female,1064581
